DEPLOYMENT_PERIOD,SENSOR,TIMESTAMP,VARIABLE,DEPTH,VALUE
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-14T23:43:00Z,Dissolved Oxygen,5,114.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-15T01:25:00Z,Dissolved Oxygen,5,114.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-15T03:07:00Z,Dissolved Oxygen,5,114.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-15T04:49:00Z,Dissolved Oxygen,5,114.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-15T06:31:00Z,Dissolved Oxygen,5,114.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-15T08:13:00Z,Dissolved Oxygen,5,114.4
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-15T09:55:00Z,Dissolved Oxygen,5,113.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-15T11:37:00Z,Dissolved Oxygen,5,113.9
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-15T13:19:00Z,Dissolved Oxygen,5,114.1
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-15T15:02:00Z,Dissolved Oxygen,5,115.2
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-15T16:44:00Z,Dissolved Oxygen,5,115.6
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-15T18:26:00Z,Dissolved Oxygen,5,116.8
2019-May-30 to 2019-Oct-19,aquaMeasure-670364,2019-06-15T20:08:00Z,Dissolved Oxygen,5,116.9
